company,country
ASML,Netherlands
Applied Materials,United States
Lam Research,United States
KLA,United States
Tokyo Electron,Japan
Nikon,Japan
Canon,Japan
ASM International,Netherlands
Screen Holdings,Japan
Hitachi High-Tech,Japan
Advantest,Japan
Teradyne,United States
Onto Innovation,United States
Lasertec,Japan
Disco Corporation,Japan
Kulicke & Soffa,Singapore
MKS Instruments,United States
Ultra Clean Holdings,United States
Edwards Vacuum,United Kingdom
Carl Zeiss SMT,Germany
Shin-Etsu Chemical,Japan
SUMCO,Japan
GlobalWafers,Taiwan
Siltronic,Germany
SK Siltron,South Korea
Tokyo Ohka Kogyo,Japan
JSR Corporation,Japan
Fujifilm,Japan
Merck KGaA,Germany
DuPont,United States
Sumitomo Chemical,Japan
Resonac,Japan
Dongjin Semichem,South Korea
Entegris,United States
Air Liquide,France
Linde,Germany
Air Products,United States
Taiyo Nippon Sanso,Japan
Messer,Germany
Photronics,United States
Toppan Photomask,Japan
Hoya,Japan
Ajinomoto,Japan
Unimicron,Taiwan
Ibiden,Japan
Shinko Electric Industries,Japan
AT&S,Austria
Nan Ya PCB,Taiwan
Soitec,France
TSMC,Taiwan
Samsung Foundry,South Korea
GlobalFoundries,United States
UMC,Taiwan
SMIC,China
Hua Hong Semiconductor,China
Tower Semiconductor,Israel
Powerchip (PSMC),Taiwan
Vanguard (VIS),Taiwan
Nexchip,China
Samsung Memory,South Korea
SK Hynix,South Korea
Micron,United States
Kioxia,Japan
Western Digital,United States
Nanya Technology,Taiwan
Intel,United States
Infineon,Germany
STMicroelectronics,Switzerland
NXP,Netherlands
Texas Instruments,United States
Analog Devices,United States
Microchip,United States
onsemi,United States
Renesas,Japan
Rohm,Japan
Wolfspeed,United States
Nvidia,United States
AMD,United States
Qualcomm,United States
Broadcom,United States
MediaTek,Taiwan
Apple,United States
Marvell,United States
Realtek,Taiwan
Novatek,Taiwan
HiSilicon,China
Google,United States
Amazon,United States
Microsoft,United States
Tesla,United States
Cerebras,United States
Ambarella,United States
Synopsys,United States
Cadence,United States
Siemens EDA,United States
ARM,United Kingdom
Imagination Technologies,United Kingdom
SiFive,United States
Ceva,United States
ASE Group,Taiwan
Amkor,United States
JCET,China
Powertech Technology,Taiwan
Tongfu Microelectronics,China
King Yuan Electronics,Taiwan
ChipMOS,Taiwan
UTAC,Singapore
Foxconn,Taiwan
